name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
newyourk,2025-11-22T00:00:00,49.9,49.9,40.8,70.9,0.0,0,,0.0,0.0,5.1,1.4,318.0,1013.5,92.4,6.7,0,0.0,0,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T01:00:00,49.9,49.3,41.1,71.57,0.0,0,,0.0,0.0,4.3,3.3,318.0,1013.1,100.0,6.5,0,0.0,0,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T02:00:00,49.9,49.9,41.9,73.8,0.0,0,,0.0,0.0,6.3,1.8,312.0,1012.6,100.0,6.4,0,0.0,0,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T03:00:00,49.2,49.2,42.6,77.74,0.0,0,,0.0,0.0,4.3,0.0,0.0,1011.9,100.0,4.6,0,0.0,0,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T04:00:00,48.3,48.3,43.7,84.14,0.0,0,,0.0,0.0,2.9,1.5,355.0,1011.2,100.0,4.1,0,0.0,0,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T05:00:00,47.5,44.2,43.0,84.39,0.014,100,rain,0.0,0.0,4.9,6.9,344.0,1012.0,100.0,2.7,0,0.0,0,,"Rain, Overcast",rain,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T06:00:00,47.0,44.5,43.0,85.86,0.154,100,rain,0.0,0.0,7.6,5.3,37.0,1011.0,100.0,3.4,0,0.0,0,,"Rain, Overcast",rain,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T07:00:00,47.2,44.4,43.7,87.7,0.009,100,rain,0.0,0.0,10.1,5.7,18.0,1010.8,100.0,4.2,6,0.0,0,,"Rain, Overcast",rain,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T08:00:00,47.4,44.5,43.7,87.03,0.0,0,,0.0,0.0,10.5,6.0,9.0,1011.2,100.0,3.4,24,0.1,0,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T09:00:00,47.4,45.6,43.7,87.03,0.02,100,rain,0.0,0.0,10.3,4.3,28.0,1011.5,100.0,3.4,36,0.1,0,,"Rain, Overcast",rain,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T10:00:00,47.5,44.9,42.2,81.68,0.0,0,,0.0,0.0,9.8,5.5,2.0,1012.0,100.0,5.9,59,0.2,1,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T11:00:00,48.2,46.3,42.4,80.36,0.0,0,,0.0,0.0,10.7,4.7,355.0,1012.0,100.0,5.3,152,0.5,2,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T12:00:00,49.0,48.3,41.5,75.41,0.0,0,,0.0,0.0,12.1,3.3,352.0,1011.0,98.3,7.3,448,1.6,4,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T13:00:00,50.2,50.2,40.5,69.19,0.0,0,,0.0,0.0,19.7,7.7,320.0,1011.2,88.0,9.9,404,1.5,4,,Partially cloudy,partly-cloudy-day,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T14:00:00,50.2,50.2,38.9,65.07,0.0,0,,0.0,0.0,19.7,5.3,342.0,1010.6,95.6,9.9,124,0.4,1,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T15:00:00,51.5,51.5,37.2,58.04,0.0,0,,0.0,0.0,11.2,8.8,307.0,1011.1,95.6,9.9,226,0.8,2,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T16:00:00,51.5,51.5,35.5,54.28,0.0,0,,0.0,0.0,20.8,10.3,313.0,1011.6,95.6,9.9,21,0.1,0,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T17:00:00,49.2,44.2,30.3,47.8,0.0,0,,0.0,0.0,9.2,12.9,330.0,1012.7,27.2,9.9,0,0.0,0,,Partially cloudy,partly-cloudy-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T18:00:00,48.3,43.0,29.2,47.53,0.0,0,,0.0,0.0,24.2,12.8,326.0,1013.9,18.5,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T19:00:00,46.6,42.4,28.1,48.37,0.0,0,,0.0,0.0,23.0,8.5,338.0,1015.2,15.0,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T20:00:00,45.7,43.5,26.6,46.99,0.0,0,,0.0,0.0,23.0,4.5,349.0,1016.0,15.0,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T21:00:00,44.5,43.2,25.5,47.1,0.0,0,,0.0,0.0,21.9,3.2,349.0,1016.3,5.7,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T22:00:00,42.9,38.4,25.3,49.43,0.0,0,,0.0,0.0,11.0,7.4,342.0,1016.6,5.7,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-22T23:00:00,42.4,39.2,24.0,47.89,0.0,0,,0.0,0.0,10.5,5.0,344.0,1016.4,15.0,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T00:00:00,40.4,40.4,23.1,49.8,0.0,0,,0.0,0.0,9.8,2.1,352.0,1016.7,18.5,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T01:00:00,40.4,40.4,23.2,50.03,0.0,0,,0.0,0.0,8.7,0.5,353.0,1016.9,12.8,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T02:00:00,39.3,39.3,23.7,53.36,0.0,0,,0.0,0.0,9.6,2.0,1.0,1017.3,12.8,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T03:00:00,39.4,35.6,22.2,49.71,0.0,0,,0.0,0.0,9.6,5.2,13.0,1017.0,12.8,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T04:00:00,37.9,34.6,21.5,51.37,0.0,0,,0.0,0.0,9.2,4.3,41.0,1016.7,12.8,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T05:00:00,38.0,35.5,21.3,50.62,0.0,0,,0.0,0.0,8.5,3.5,1.0,1017.0,12.8,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T06:00:00,37.5,37.5,23.9,57.57,0.0,0,,0.0,0.0,7.8,0.5,340.0,1017.3,12.8,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T07:00:00,36.8,36.8,24.3,60.37,0.0,0,,0.0,0.0,7.8,1.2,17.0,1017.1,18.5,9.9,12,0.0,0,,Clear,clear-day,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T08:00:00,39.8,39.8,26.4,58.37,0.0,0,,0.0,0.0,8.5,1.4,307.0,1017.0,32.6,9.9,67,0.2,1,,Partially cloudy,partly-cloudy-day,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T09:00:00,42.4,42.4,26.5,53.16,0.0,0,,0.0,0.0,8.7,1.5,307.0,1016.7,95.6,9.9,134,0.5,1,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T10:00:00,45.2,45.2,27.7,49.97,0.0,0,,0.0,0.0,9.4,1.3,328.0,1015.9,88.0,9.9,236,0.8,2,,Partially cloudy,partly-cloudy-day,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T11:00:00,46.5,41.9,26.0,44.58,0.0,0,,0.0,0.0,12.1,9.4,200.0,1015.1,97.3,9.9,241,0.9,2,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T12:00:00,47.7,44.5,26.0,42.42,0.0,0,,0.0,0.0,14.1,6.9,215.0,1014.3,97.3,9.9,232,0.8,2,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T13:00:00,47.9,44.5,27.4,44.56,0.0,0,,0.0,0.0,15.2,7.5,212.0,1013.1,100.0,9.9,81,0.3,1,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T14:00:00,48.4,44.4,28.8,46.49,0.0,0,,0.0,0.0,18.3,9.1,225.0,1012.6,97.3,9.9,140,0.5,1,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T15:00:00,48.4,44.1,30.4,49.59,0.0,0,,0.0,0.0,21.0,9.8,234.0,1012.6,95.6,9.9,65,0.2,1,,Overcast,cloudy,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T16:00:00,48.7,44.3,31.6,51.62,0.0,0,,0.0,0.0,27.3,10.3,262.0,1013.3,64.1,9.9,35,0.1,0,,Partially cloudy,partly-cloudy-day,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T17:00:00,48.3,43.4,31.6,52.4,0.0,0,,0.0,0.0,20.5,11.3,266.0,1013.7,30.7,9.9,0,0.0,0,,Partially cloudy,partly-cloudy-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T18:00:00,47.4,45.5,31.6,54.2,0.0,0,,0.0,0.0,25.3,4.4,323.0,1014.3,18.5,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T19:00:00,47.4,43.4,32.4,55.79,0.0,0,,0.0,0.0,23.0,8.5,254.0,1014.7,30.7,9.9,0,0.0,0,,Partially cloudy,partly-cloudy-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T20:00:00,47.3,45.2,31.4,53.85,0.0,0,,0.0,0.0,16.1,4.8,320.0,1015.0,9.3,9.9,0,0.0,0,,Clear,clear-night,"KEWR,KLGA,F1417,KNYC"
newyourk,2025-11-23T21:00:00,47.6,43.6,31.4,53.36,0.0,0,,0.0,0.0,25.3,8.4,252.0,1015.3,75.8,9.9,0,0.0,0,,Partially cloudy,partly-cloudy-night,"KEWR,KLGA,F1417,KNYC"
